1,Afghanistan,Asia
2,Åland Islands,Europe
3,Albania,Europe
4,Algeria,Africa
5,American Samoa,Oceania
6,Andorra,Europe
7,Angola,Africa
8,Anguilla,North America
9,Antarctica,Antarctica
10,Antigua and Barbuda,North America
11,Argentina,South America
12,Armenia,Asia
13,Aruba,North America
14,Australia,Oceania
15,Austria,Europe
16,Azerbaijan,Asia
17,Bahamas,North America
18,Bahrain,Asia
19,Bangladesh,Asia
20,Barbados,North America
21,Belarus,Europe
22,Belgium,Europe
23,Belize,North America
24,Benin,Africa
25,Bermuda,North America
26,Bhutan,Asia
27,Bolivia,South America
28,Bonaire, Sint Eustatius and Saba,North America
29,Bosnia and Herzegovina,Europe
30,Botswana,Africa
31,Bouvet Island,South America
32,Brazil,South America
33,British Indian Ocean Territory,Africa
34,British Virgin Islands,North America
35,Brunei Darussalam,Asia
36,Bulgaria,Europe
37,Burkina Faso,Africa
38,Burundi,Africa
39,Cabo Verde,Africa
40,Cambodia,Asia
41,Cameroon,Africa
42,Canada,North America
43,Cayman Islands,North America
44,Central African Republic,Africa
45,Chad,Africa
46,Chile,South America
47,China,Asia
48,China, Hong Kong Special Administrative Region,Asia
49,China, Macao Special Administrative Region,Asia
50,Christmas Island,Oceania
51,Cocos (Keeling) Islands,Oceania
52,Colombia,South America
53,Comoros,Africa
54,Congo,Africa
55,Cook Islands,Oceania
56,Costa Rica,North America
57,Côte d’Ivoire,Africa
58,Croatia,Europe
59,Cuba,North America
60,Curaçao,North America
61,Cyprus,Asia
62,Czechia,Europe
63,Democratic People's Republic of Korea,Asia
64,Democratic Republic of the Congo,Africa
65,Denmark,Europe
66,Djibouti,Africa
67,Dominica,North America
68,Dominican Republic,North America
69,Ecuador,South America
70,Egypt,Africa
71,El Salvador,North America
72,Equatorial Guinea,Africa
73,Eritrea,Africa
74,Estonia,Europe
75,Eswatini,Africa
76,Ethiopia,Africa
77,Falkland Islands (Malvinas),South America
78,Faroe Islands,Europe
79,Fiji,Oceania
80,Finland,Europe
81,France,Europe
82,French Guiana,South America
